hour_of_the_year;hour_of_the_day;day;electricity_consumption
481;1;21;0.5015035
482;2;21;0.2669765
483;3;21;0.25718425
484;4;21;0.28793725
485;5;21;0.287299
486;6;21;0.38352975
487;7;21;0.53171425
488;8;21;0.50908
489;9;21;0.46637075
490;10;21;0.55188775
491;11;21;0.852522
492;12;21;0.27762975
493;13;21;0.29438825
494;14;21;0.5068705
495;15;21;0.8647825
496;16;21;0.605
497;17;21;0.53652025
498;18;21;0.72939625
499;19;21;1.08346925
500;20;21;0.5279415
501;21;21;0.6052125
502;22;21;0.36938525
503;23;21;0.42677225
504;24;21;0.42536725
